VNDNBR,VndCode,VNDNAME,VNDTYPE,INV_YEAR, INVPAYAMT , INV_AMOUNT ,DPTNBR,DIV,DEPT,DEPT_CODE
C8002134,8002134,เชียงใหม่ เฮิร์บส์ เทรดดิ้ง บจก. Capex (BJMP),CAPEX,2023,"  1,341,672.81 ","  41,339.01 ",21310,02,10,0210
C8002134,8002134,เชียงใหม่ เฮิร์บส์ เทรดดิ้ง บจก. Capex (BJMP),CAPEX,2023,"  1,341,672.81 ","  712,920.00 ",21840,06,20,0620
M0100007,0100007,กรีนแลนด์มาร์เก็ตติ้ง บจก.,FOOD-MERCHANDISE,2023,"  23,473,056.25 ","  21,937,435.67 ",21620,04,20,0420
M0101006,0101006,แกรนด์ไลท์ เอ็นเตอร์ไพรส์ บจก. (HL),NONFOOD-MERCHANDISE,2023,"  24,392,708.65 ","  22,749,959.97 ",21330,02,30,0230
M0101205,0101205,กลุ่มเกษตรมาร์เก็ตติ้ง บจก.,FOOD-MERCHANDISE,2023,"  51,073,525.00 ","  51,073,525.00 ",21630,04,30,0430
M0400050,0400050,เค.ที.วาย. ฟู๊ด อินเตอร์เนชั่นแนล บจก.,FOOD-MERCHANDISE,2023,"  39,431,533.42 ","  36,851,900.40 ",21610,04,10,0410
M0400124,0400124,โคฟี่ บจก.,FOOD-MERCHANDISE,2023,"  5,694,900.35 ","  5,322,336.78 ",21640,04,40,0440
M0400579,0400579,แคปปิตัล เทรดดิ้ง บจก.,FOOD-MERCHANDISE,2023,"  14,714,043.05 ","  13,751,442.07 ",21620,04,20,0420
M0100556,0100556,ก๊กเลี้ยงฟาร์มาซี หจก..,FOOD-MERCHANDISE,2023,"  90,700.99 ","  57,792.00 ",21662,04,62,0462
M0101006,0101006,แกรนด์ไลท์ เอ็นเตอร์ไพรส์ บจก. (HL),NONFOOD-MERCHANDISE,2023,  -   ,  -   ,21790,05,70,0570
M0400039,0400039,คอลเกต-ปาล์มโอลีฟ (ประเทศไทย) บจก.,FOOD-MERCHANDISE,2023,"  86,692.47 ",  -   ,21630,04,30,0430
M0400039,0400039,คอลเกต-ปาล์มโอลีฟ (ประเทศไทย) บจก.,FOOD-MERCHANDISE,2023,"  840,411,049.51 ","  785,170,621.10 ",21660,04,60,0460
M0400566,0400566,คิมเบอร์ลี่ย์-คล๊าค ประเทศไทย บจก. (DF),FOOD-MERCHANDISE,2023,"  380,665,266.00 ","  354,833,359.49 ",21672,04,72,0472
M0100240,0100240,กรไทย  บจก.,FOOD-MERCHANDISE,2023,"  2,070,891.95 ","  1,932,480.00 ",21630,04,30,0430
M0100296,0100296,กรุงเทพวิทยา (1988) บจก.,NONFOOD-MERCHANDISE,2023,"  814,611.33 ","  761,319.00 ",21350,02,50,0250
M0100556,0100556,ก๊กเลี้ยงฟาร์มาซี หจก..,FOOD-MERCHANDISE,2023,"  1,177,643.72 ","  834,536.74 ",21661,04,61,0461
M0101006,0101006,แกรนด์ไลท์ เอ็นเตอร์ไพรส์ บจก. (HL),NONFOOD-MERCHANDISE,2023,"  20,710,590.09 ","  19,345,633.86 ",21510,01,10,0110
M0400068,0400068,ควีนโปรดักส์  บจก.,FOOD-MERCHANDISE,2023,"  5,084,274.06 ","  4,751,658.00 ",21640,04,40,0440
M0400354,0400354,คอฟฟี่ เซลส์ บจก. (1),FOOD-MERCHANDISE,2023,"  90,603,184.24 ","  84,675,873.23 ",21610,04,10,0410
M0100126,0100126,มิตซูบิชิ อีเล็คทริค กันยงวัฒนา บจก.,NONFOOD-MERCHANDISE,2023,"  268,328,746.03 ","  250,774,529.00 ",21512,01,12,0112
M0100385,0100385,กิจไกร อิมปอร์ต-เอ็กซ์ปอร์ต หจก. (Old),NONFOOD-MERCHANDISE,2023,"  1,530,394.25 ","  1,430,275.00 ",21240,03,40,0340
M0100556,0100556,ก๊กเลี้ยงฟาร์มาซี หจก..,FOOD-MERCHANDISE,2023,"  14,108,557.05 ","  13,164,523.10 ",21660,04,60,0460
M0101084,0101084,กีโต้ (ประเทศไทย) บจก.,NONFOOD-MERCHANDISE,2023,"  18,515,058.42 ","  17,303,792.93 ",21250,03,50,0350
M0400798,0400798,เค.เอ็ม.จี.การ์เม้นท์ บจก.,NONFOOD-MERCHANDISE,2023,"  13,662,015.73 ","  12,768,239.00 ",21110,03,80,0380
M0400799,0400799,เคไอเจ มาร์เก็ตติ้ง บจก.,NONFOOD-MERCHANDISE,2023,"  4,242,779.54 ","  3,965,214.56 ",21310,02,10,0210
M0400737,0400737,เค.ที.แอล.มาร์เก็ตติ้ง  บจก.,NONFOOD-MERCHANDISE,2023,"  4,636,192.80 ","  4,332,890.45 ",21310,02,10,0210
M0400742,0400742,เค.แอนด์เอ็น ฟู้ดส์ บจก.,FOOD-MERCHANDISE,2023,"  3,970,691.00 ","  3,710,926.11 ",21740,05,40,0540
M0800096,0800096,จอมธนา บจก.,FOOD-MERCHANDISE,2023,"  14,921,060.22 ","  13,944,916.07 ",21790,05,70,0570
M0800626,0800626,เจริญชัยราชดำริ บจก...,NONFOOD-MERCHANDISE,2023,"  6,152,818.86 ","  5,750,298.00 ",21310,02,10,0210
M0801005,0801005,เจ.ซี.พี.พลาสติก   หจก.,NONFOOD-MERCHANDISE,2023,"  8,596.38 ","  8,034.00 ",21320,02,20,0220
C8002134,8002134,เชียงใหม่ เฮิร์บส์ เทรดดิ้ง บจก. Capex (BJMP),CAPEX,2023,"  1,341,672.81 ","  114,673.46 ",21250,03,50,0350
M0100042,0100042,กรีนสปอต บจก.,FOOD-MERCHANDISE,2023,"  232,848,972.50 ","  217,615,862.29 ",21640,04,40,0440
M0100352,0100352,แกรนด์มาร์เก็ตติ้ง บจก.,NONFOOD-MERCHANDISE,2023,"  23,769,690.53 ","  22,214,664.13 ",21330,02,30,0230
M0100576,0100576,กลอบอล รีช บจก. (HL),NONFOOD-MERCHANDISE,2023,"  4,962,238.66 ","  4,637,605.33 ",21560,01,60,0160
M0400566,0400566,คิมเบอร์ลี่ย์-คล๊าค ประเทศไทย บจก. (DF),FOOD-MERCHANDISE,2023,"  32,690,867.15 ","  1,547,220.73 ",21670,04,70,0470
M0400681,0400681,คิวรอน บจก.,NONFOOD-MERCHANDISE,2023,"  17,309,650.65 ","  16,177,243.42 ",21510,01,10,0110
M0400699,0400699,เคนโด้อีเล็คทริค บจก.,NONFOOD-MERCHANDISE,2023,"  1,162,549.65 ","  1,086,495.00 ",21510,01,10,0110
M0400759,0400759,ครีเดนซ์ บจก.,FOOD-MERCHANDISE,2023,"  26,147,821.51 ","  24,437,216.27 ",21672,04,72,0472
M0400776,0400776,ครีเดนซ์   บจก.,FOOD-MERCHANDISE,2023,"  136,937,779.12 ","  127,979,232.50 ",21630,04,30,0430
M0400784,0400784,คราวน์มาสเตอร์ บจก.,FOOD-MERCHANDISE,2023,"  269,126.40 ","  251,520.00 ",21750,05,50,0550
M0801005,0801005,เจ.ซี.พี.พลาสติก   หจก.,NONFOOD-MERCHANDISE,2023,"  20,827,101.20 ","  19,464,580.53 ",21310,02,10,0210
M0400789,0400789,เค.ที.ยูเทนซิล บจก. (HOL),NONFOOD-MERCHANDISE,2023,"  8,481,763.74 ","  7,926,882.00 ",21310,02,10,0210
M0800132,0800132,เจ.บี.อินเตอร์โปรดักส์ บจก.,FOOD-MERCHANDISE,2023,"  22,458,957.60 ","  20,989,680.00 ",21620,04,20,0420
M0801038,0801038,เจียเม้งมาร์เก็ตติ้ง บจก.,FOOD-MERCHANDISE,2023,"  196,226,019.77 ","  196,212,365.15 ",21630,04,30,0430
M0801064,0801064,เจอาร์ เอฟ แอนด์ บี บจก.,FOOD-MERCHANDISE,2023,"  1,748,842.85 ","  1,495,096.14 ",21620,04,20,0420
M1000027,1000027,ชาญธวัช หจก.,NONFOOD-MERCHANDISE,2023,"  84,029.48 ","  78,532.44 ",21310,02,10,0210
M1100015,1100015,ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์)  บจก.,FOOD-MERCHANDISE,2023,"  896,020,435.57 ","  835,871,995.58 ",21620,04,20,0420
M1100015,1100015,ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์)  บจก.,FOOD-MERCHANDISE,2023,"  2,415,341.31 ","  219,173.98 ",21631,04,31,0431
M1100015,1100015,ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์)  บจก.,FOOD-MERCHANDISE,2023,"  34,562,135.04 ","  30,188,170.86 ",21640,04,40,0440
M1100136,1100136,ซี.พี.คอนซูเมอร์ โพรดักส์ บจก.,FOOD-MERCHANDISE,2023,"  385,558.24 ","  359,944.74 ",21661,04,61,0461
M1100136,1100136,ซี.พี.คอนซูเมอร์ โพรดักส์ บจก.,FOOD-MERCHANDISE,2023,"  9,679,840.12 ","  7,727,133.58 ",21672,04,72,0472
M1100169,1100169,ซากุระโปรดัคส์ (ไทยแลนด์) บจก.,NONFOOD-MERCHANDISE,2023,"  5,613,945.05 ","  5,246,677.63 ",21350,02,50,0250
M0100126,0100126,มิตซูบิชิ อีเล็คทริค กันยงวัฒนา บจก.,NONFOOD-MERCHANDISE,2023,"  8,261,242.09 ","  7,720,787.00 ",21510,01,10,0110
M0101156,0101156,กี วี และคมคม โปรดักส์ บจก.,NONFOOD-MERCHANDISE,2023,"  11,627,228.27 ","  10,872,429.62 ",21310,02,10,0210
M0400519,0400519,เครื่องนอนไทย บจก..,NONFOOD-MERCHANDISE,2023,"  29,595,991.35 ","  27,659,805.00 ",21320,02,20,0220
M0400607,0400607,ครีเดนซ์ บจก. M04,FOOD-MERCHANDISE,2023,"  2,080,286.24 ","  1,944,192.62 ",21630,04,30,0430
M0700009,0700009,ง่วนสูน (1974),FOOD-MERCHANDISE,2023,"  236,192.40 ","  27,510.00 ",21631,04,31,0431
M0801048,0801048,เจ.อาร์.ไอชิ เวิลด์ หจก.,FOOD-MERCHANDISE,2023,"  1,159,248.54 ","  1,095,179.96 ",21790,05,70,0570
M1100339,1100339,ซีพี-เมจิ บจก.,FOOD-MERCHANDISE,2023,"  518,559,939.42 ","  499,592,722.28 ",21760,05,60,0560
M1100616,1100616,เซ่งมุ้ย ลำปาง หจก.,FOOD-MERCHANDISE,2023,"  2,188,244.70 ","  2,045,088.49 ",21650,04,50,0450
M1100710,1100710,ซี.พี.ฟู้ดสโตร์ บจก.,FOOD-MERCHANDISE,2023,"  2,799,439.28 ","  2,616,298.40 ",21610,04,10,0410
M1100716,1100716,เซ็นทรัล ฟลอรา บจก.,NONFOOD-MERCHANDISE,2023,"  1,542,530.19 ","  1,441,617.00 ",21340,02,40,0240
M2000023,2000023,ดี เอช เอ สยามวาลา บจก.,NONFOOD-MERCHANDISE,2023,"  38,261,205.41 ","  35,758,135.66 ",21350,02,50,0250
M2100220,2100220,ต้ากี่ 1950 บจก.,FOOD-MERCHANDISE,2023,"  6,002,238.40 ","  5,435,459.00 ",21630,04,30,0430
M2100267,2100267,โตไกย่า บจก.,FOOD-MERCHANDISE,2023,"  10,846,023.58 ","  10,136,470.50 ",21790,05,70,0570
M2300086,2300086,ไทยซอสเซสมาร์เก็ตติ้ง บจก..,FOOD-MERCHANDISE,2023,"  56,457,444.72 ","  52,763,966.98 ",21760,05,60,0560
M2300571,2300571,ไทยเทพรส บมจ.,FOOD-MERCHANDISE,2023,"  106,525,025.70 ","  99,152,996.70 ",21630,04,30,0430
M2300680,2300680,ไทย เจ.เพรส บจก.,NONFOOD-MERCHANDISE,2023,"  173,890.12 ","  162,514.14 ",21222,03,22,0322
M2300953,2300953,ที.เอ็ม.คอสเมติค หจก.,NONFOOD-MERCHANDISE,2023,"  1,528,550.64 ","  1,428,552.00 ",21250,03,50,0350
C8002134,8002134,เชียงใหม่ เฮิร์บส์ เทรดดิ้ง บจก. Capex (BJMP),CAPEX,2023,"  1,341,672.81 ","  379,243.35 ",21320,02,20,0220
M0100017,0100017,กรุงไทยการไฟฟ้า บจก.,NONFOOD-MERCHANDISE,2023,"  737,500.71 ","  806,098.00 ",21512,01,12,0112
M0100032,0100032,กีฬาไทยพาณิชย์ บจก.,NONFOOD-MERCHANDISE,2023,"  7,981,455.19 ","  7,459,303.90 ",21330,02,30,0230
M0101220,0101220,กิจเจริญการ์เมนท์(1993) บจก.,NONFOOD-MERCHANDISE,2023,"  44,833,455.56 ","  41,900,425.76 ",21110,03,80,0380
M0200455,0200455,ขอนแก่นธีระเทรดดิ้ง  หจก.,TOWN CENTER,2023,"  3,032,733.86 ","  2,834,330.84 ",21790,05,70,0570
C8002134,8002134,เชียงใหม่ เฮิร์บส์ เทรดดิ้ง บจก. Capex (BJMP),CAPEX,2023,"  1,341,672.81 ","  5,724.00 ",21672,04,72,0472
M0100017,0100017,กรุงไทยการไฟฟ้า บจก.,NONFOOD-MERCHANDISE,2023,"  634,210,878.16 ","  592,728,488.88 ",21510,01,10,0110
M0100240,0100240,กรไทย  บจก.,FOOD-MERCHANDISE,2023,"  1,664,574.70 ","  1,554,357.26 ",21610,04,10,0410
M0101089,0101089,โกลด์โรสท์ฟู้ด(ไทย)อินดัสตรี้ส์ บจก,FOOD-MERCHANDISE,2023,"  1,554,704.99 ","  1,452,995.29 ",21610,04,10,0410
M0400039,0400039,คอลเกต-ปาล์มโอลีฟ (ประเทศไทย) บจก.,FOOD-MERCHANDISE,2023,"  5,372,116.90 ","  765,612.24 ",21662,04,62,0462
M0400757,0400757,เครเดิล เวิลด์ หจก.,NONFOOD-MERCHANDISE,2023,"  6,318,013.05 ","  5,904,685.09 ",21240,03,40,0340
M1000987,1000987,ชิกเก้น บูม หจก.,NONFOOD-MERCHANDISE,2023,"  (1,758.59)","  (1,643.54)",21110,03,80,0380
M1100136,1100136,ซี.พี.คอนซูเมอร์ โพรดักส์ บจก.,FOOD-MERCHANDISE,2023,"  13,894,650.53 ","  12,760,071.66 ",21630,04,30,0430
M1100649,1100649,ซี.พี.เค.คิทเช่นคลาส บจก.,NONFOOD-MERCHANDISE,2023,"  9,774.45 ","  7,245.00 ",21320,02,20,0220
M2000041,2000041,ดอกบัวคู่ บจก.,FOOD-MERCHANDISE,2023,"  7,886,162.32 ","  7,352,930.98 ",21610,04,10,0410
M0400039,0400039,คอลเกต-ปาล์มโอลีฟ (ประเทศไทย) บจก.,FOOD-MERCHANDISE,2023,"  101,257.31 ","  34,440.05 ",21661,04,61,0461
M0700009,0700009,ง่วนสูน (1974),FOOD-MERCHANDISE,2023,"  2,116,747.60 ","  2,100,550.00 ",21630,04,30,0430
M0800811,0800811,เจ ที ที บจก.,FOOD-MERCHANDISE,2023,"  14,092,749.01 ","  13,170,793.10 ",21760,05,60,0560
M0801067,0801067,จาโกต้า บราเดอร์ส เทรดดิ้ง บจก.,FOOD-MERCHANDISE,2023,"  6,676,763.14 ","  6,389,745.05 ",21750,05,50,0550
M1000310,1000310,ชัยชนะมาเก็ตติ้ง หจก.,FOOD-MERCHANDISE,2023,"  1,583,195.54 ","  1,479,622.00 ",21760,05,60,0560
M1000587,1000587,โชติโก บจก.,FOOD-MERCHANDISE,2023,"  5,687,850.32 ","  5,687,850.32 ",21790,05,70,0570
M1000966,1000966,ชัยเสรี บจก.,FOOD-MERCHANDISE,2023,"  2,623,668.27 ","  2,452,026.30 ",21630,04,30,0430
M0900046,0900046,ฉัตรอินเตอร์ เอ็นเตอร์ไพรส์ บจก.,NONFOOD-MERCHANDISE,2023,"  11,020,566.65 ","  10,299,595.00 ",21310,02,10,0210
M1000662,1000662,โชคลาภบุญไชย บจก.,NONFOOD-MERCHANDISE,2023,"  28,450,444.00 ","  26,593,660.00 ",21320,02,20,0220
M1100015,1100015,ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์)  บจก.,FOOD-MERCHANDISE,2023,"  109,851,667.98 ","  98,482,506.71 ",21630,04,30,0430
M1100015,1100015,ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์)  บจก.,FOOD-MERCHANDISE,2023,"  280,018.97 ","  261,700.02 ",21840,06,20,0620
M1100653,1100653,ซีพีแรม บจก.,FOOD-MERCHANDISE,2023,"  27,690,263.05 ","  25,881,091.74 ",21790,05,70,0570
M0801064,0801064,เจอาร์ เอฟ แอนด์ บี บจก.,FOOD-MERCHANDISE,2023,"  38,968,998.26 ","  36,285,881.84 ",21610,04,10,0410
M0801064,0801064,เจอาร์ เอฟ แอนด์ บี บจก.,FOOD-MERCHANDISE,2023,"  30,696,671.29 ","  28,649,044.19 ",21630,04,30,0430
M0900095,0900095,เฉาก๊วย ดอนเมือง หจก. (FF),FOOD-MERCHANDISE,2023,"  9,858,033.05 ","  9,213,115.00 ",21760,05,60,0560
M1000961,1000961,เชียงใหม่วนัสนันท์ บจก.,FOOD-MERCHANDISE,2023,"  1,707,450.36 ","  1,596,756.00 ",21760,05,60,0560
M1100136,1100136,ซี.พี.คอนซูเมอร์ โพรดักส์ บจก.,FOOD-MERCHANDISE,2023,"  30,594,817.93 ","  27,698,097.62 ",21670,04,70,0470
M1100357,1100357,ซีเอสพี 1990 บจก.,NONFOOD-MERCHANDISE,2023,"  777,888.35 ","  726,998.40 ",21310,02,10,0210
M2000011,2000011,ดานอน สเปเชียลไลซ์ นิวทริชั่น (ประเทศไทย) บจก.,FOOD-MERCHANDISE,2023,"  60,374,499.82 ",  -   ,21630,04,30,0430
M0800016,0800016,ห้างจุฬา,NONFOOD-MERCHANDISE,2023,"  335,794.92 ","  313,827.08 ",21240,03,40,0340
M0800446,0800446,แจ๊กเจียอุตสาหกรรม (ไทย) บมจ.,FOOD-MERCHANDISE,2023,"  2,764,191.86 ","  2,583,356.88 ",21660,04,60,0460
M0801070,0801070,จิระพาณิชย์เพชรบุรี หจก.,FOOD-MERCHANDISE,2023,"  6,335,994.42 ","  5,921,489.96 ",21650,04,50,0450
M1000662,1000662,โชคลาภบุญไชย บจก.,NONFOOD-MERCHANDISE,2023,"  21,494.16 ",  -   ,21360,02,60,0260
M1100440,1100440,ซี แอนด์ เอ แปซิฟิค บจก.,NONFOOD-MERCHANDISE,2023,"  1,272,366.96 ","  1,189,128.00 ",21340,02,40,0240
M2000264,2000264,ดีอาร์.มาร์เก็ตติ้ง บจก.,NONFOOD-MERCHANDISE,2023,"  4,841,843.36 ","  4,525,086.20 ",21240,03,40,0340
M2002806,2002806,ดีจี อาร์ต แอนด์ คราฟท์ บจก.,NONFOOD-MERCHANDISE,2023,"  315,615.76 ","  294,968.00 ",21350,02,50,0250
M1100015,1100015,ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์)  บจก.,FOOD-MERCHANDISE,2023,"  79,802.50 ","  74,581.80 ",21750,05,50,0550
M1100136,1100136,ซี.พี.คอนซูเมอร์ โพรดักส์ บจก.,FOOD-MERCHANDISE,2023,"  16,465,978.10 ","  15,388,764.56 ",21840,06,20,0620
M1100649,1100649,ซี.พี.เค.คิทเช่นคลาส บจก.,NONFOOD-MERCHANDISE,2023,"  18,950,548.30 ","  17,710,462.80 ",21310,02,10,0210
M1100710,1100710,ซี.พี.ฟู้ดสโตร์ บจก.,FOOD-MERCHANDISE,2023,"  12,556,755.08 ","  12,556,755.08 ",21740,05,40,0540
M1600024,1600024,ฐานะภัณฑ์ บจก.,NONFOOD-MERCHANDISE,2023,"  885,899.01 ","  827,943.00 ",21320,02,20,0220
M2000007,2000007,ดี ไทย บจก.,FOOD-MERCHANDISE,2023,"  889,977.60 ","  831,754.79 ",21650,04,50,0450
M2000041,2000041,ดอกบัวคู่ บจก.,FOOD-MERCHANDISE,2023,"  48,119,936.60 ","  44,914,801.78 ",21660,04,60,0460
M2100006,2100006,ตังหมง หจก.,FOOD-MERCHANDISE,2023,"  4,642,103.29 ","  4,333,729.56 ",21660,04,60,0460
M2002824,2002824,ดีเอสจี อินเตอร์เนชั่นแนล (ประเทศไทย) บมจ.,NONFOOD-MERCHANDISE,2023,"  202,088,136.37 ","  188,867,417.08 ",21672,04,72,0472
M2300086,2300086,ไทยซอสเซสมาร์เก็ตติ้ง บจก..,FOOD-MERCHANDISE,2023,"  200,090.00 ","  187,000.00 ",21750,05,50,0550
M2300307,2300307,ไทยชูรส บจก.,FOOD-MERCHANDISE,2023,"  11,324,857.50 ","  10,536,876.04 ",21630,04,30,0430
M2300752,2300752,ทองการ์เด้น  บจก.,FOOD-MERCHANDISE,2023,"  59,256,498.73 ","  55,379,905.23 ",21620,04,20,0420
M2301069,2301069,ไทซันฟูดส์ บจก.,FOOD-MERCHANDISE,2023,"  6,279,703.74 ","  5,868,882.00 ",21620,04,20,0420
M2301080,2301080,ลอรีอัล (ประเทศไทย) บจก.,FOOD-MERCHANDISE,2023,"  267,678,523.61 ","  236,149,394.17 ",21660,04,60,0460
M2348458,2348458,ทานตะวันอุตสาหกรรม บมจ.,FOOD-MERCHANDISE,2023,"  10,851,507.35 ","  10,141,595.71 ",21310,02,10,0210
M2348527,2348527,ที.อาร์.กรีน บจก.,NONFOOD-MERCHANDISE,2023,"  1,399,229.70 ","  1,373,007.42 ",21340,02,40,0240
M2400013,2400013,ธารธนา  บจก.,NONFOOD-MERCHANDISE,2023,"  16,685,798.85 ","  15,629,022.26 ",21270,03,70,0370
M1100653,1100653,ซีพีแรม บจก.,FOOD-MERCHANDISE,2023,"  168,992.31 ","  155,156.88 ",21740,05,40,0540
M1100678,1100678,ซันเมอรี่ บจก.,FOOD-MERCHANDISE,2023,"  89,029,582.67 ","  83,205,217.29 ",21750,05,50,0550
M2300307,2300307,ไทยชูรส บจก.,FOOD-MERCHANDISE,2023,"  746,186.62 ","  480,449.49 ",21631,04,31,0431
M2300680,2300680,ไทย เจ.เพรส บจก.,NONFOOD-MERCHANDISE,2023,"  2,433,833.44 ","  2,274,610.71 ",21110,03,80,0380
M2300971,2300971,ไทย อกริ ฟู้ดส์ บมจ. (M2300971),FOOD-MERCHANDISE,2023,"  3,804,864.33 ","  3,555,948.08 ",21790,05,70,0570
M2300993,2300993,ยูอาร์ซี (ประเทศไทย) บจก.,FOOD-MERCHANDISE,2023,"  216,538,661.22 ","  202,372,580.31 ",21620,04,20,0420
M2301080,2301080,ลอรีอัล (ประเทศไทย) บจก.,FOOD-MERCHANDISE,2023,"  1,802,348.03 ",  -   ,21630,04,30,0430
M2301157,2301157,ไทยซัมซุง อิเลคโทรนิคส์ บจก..,NONFOOD-MERCHANDISE,2023,"  646,472,417.57 ","  604,631,153.11 ",21512,01,12,0112
M2400283,2400283,ธรรมมงคล บจก.,NONFOOD-MERCHANDISE,2023,"  9,479,378.18 ","  8,859,231.55 ",21310,02,10,0210
M1100710,1100710,ซี.พี.ฟู้ดสโตร์ บจก.,FOOD-MERCHANDISE,2023,"  901,809,478.02 ","  901,809,478.02 ",21630,04,30,0430
M2000011,2000011,ดานอน สเปเชียลไลซ์ นิวทริชั่น (ประเทศไทย) บจก.,FOOD-MERCHANDISE,2023,"  343,106,474.11 ","  346,035,945.56 ",21640,04,40,0440
M2000315,2000315,ดัชมิลล์ บจก.,FOOD-MERCHANDISE,2023,"  419,277,090.65 ","  395,550,421.41 ",21760,05,60,0560
M2100006,2100006,ตังหมง หจก.,FOOD-MERCHANDISE,2023,"  697,045.76 ","  649,840.68 ",21672,04,72,0472
M2100050,2100050,โตชิบา ไทยแลนด์ บจก.,NONFOOD-MERCHANDISE,2023,"  301,774,114.91 ","  281,925,839.83 ",21512,01,12,0112
M2100220,2100220,ต้ากี่ 1950 บจก.,FOOD-MERCHANDISE,2023,"  2,000,069.30 ","  1,314,581.60 ",21631,04,31,0431
M2300040,2300040,ไทยสเตนเลสสตีล บจก..,NONFOOD-MERCHANDISE,2023,  -   ,  -   ,21110,03,80,0380
M2300040,2300040,ไทยสเตนเลสสตีล บจก..,NONFOOD-MERCHANDISE,2023,"  71,126.98 ","  66,473.82 ",21510,01,10,0110
M2300182,2300182,เทพผดุงพร มะพร้าว บจก.,FOOD-MERCHANDISE,2023,"  1,335,305.94 ","  1,247,949.48 ",21630,04,30,0430
M2300182,2300182,เทพผดุงพร มะพร้าว บจก.,FOOD-MERCHANDISE,2023,"  715,639.66 ","  668,822.12 ",21740,05,40,0540
M2300559,2300559,เทพวรรณ สปอร์ตกรุ๊ป  บจก.,NONFOOD-MERCHANDISE,2023,"  13,126,344.73 ","  12,267,611.89 ",21330,02,30,0230
M2300571,2300571,ไทยเทพรส บมจ.,FOOD-MERCHANDISE,2023,"  4,315,051.86 ","  1,850,049.02 ",21631,04,31,0431
M2300680,2300680,ไทย เจ.เพรส บจก.,NONFOOD-MERCHANDISE,2023,"  13,749,049.62 ","  12,849,579.07 ",21220,03,20,0320
M2300040,2300040,ไทยสเตนเลสสตีล บจก..,NONFOOD-MERCHANDISE,2023,"  2,183,361.36 ",  -   ,21360,02,60,0260
M2301080,2301080,ลอรีอัล (ประเทศไทย) บจก.,FOOD-MERCHANDISE,2023,"  432,145,735.63 ","  394,640,517.62 ",21661,04,61,0461
M2301157,2301157,ไทยซัมซุง อิเลคโทรนิคส์ บจก..,NONFOOD-MERCHANDISE,2023,"  57,964,182.32 ","  54,408,399.01 ",21510,01,10,0110
M2301157,2301157,ไทยซัมซุง อิเลคโทรนิคส์ บจก..,NONFOOD-MERCHANDISE,2023,"  328,565,731.13 ","  307,157,270.39 ",21520,01,20,0120
M2348555,2348555,ที เอส พี แดรี่โปรดักส์ บจก.,FOOD-MERCHANDISE,2023,"  1,134,702.03 ","  1,060,469.22 ",21790,05,70,0570
M2348569,2348569,ไทยซัมมิท มาร์เก็ตติ้ง บจก. (FF),FOOD-MERCHANDISE,2023,"  141,519,998.05 ","  141,519,998.05 ",21710,05,10,0510
M2500008,2500008,นานมี บจก.,NONFOOD-MERCHANDISE,2023,"  7,094,089.44 ","  6,629,990.12 ",21350,02,50,0250
M2100110,2100110,ตราแม่ครัว บจก.,FOOD-MERCHANDISE,2023,"  3,500,994.91 ","  2,425,447.41 ",21631,04,31,0431
M2301069,2301069,ไทซันฟูดส์ บจก.,FOOD-MERCHANDISE,2023,"  1,454,042.53 ","  1,358,918.21 ",21630,04,30,0430
M2301021,2301021,ท็อปเปอร์อินดัสเตรียล บจก.,NONFOOD-MERCHANDISE,2023,"  5,265,311.64 ","  4,920,852.00 ",21310,02,10,0210
M2400088,2400088,ธนมงคล หจก.,NONFOOD-MERCHANDISE,2023,"  11,792,530.81 ","  11,021,641.83 ",21220,03,20,0320
M2500016,2500016,นิวซิตี้(กรุงเทพฯ ) บมจ.,NONFOOD-MERCHANDISE,2023,"  183,888.32 ","  171,858.24 ",21212,03,12,0312
M2500016,2500016,นิวซิตี้(กรุงเทพฯ ) บมจ.,NONFOOD-MERCHANDISE,2023,"  4,115,846.31 ","  1,215,925.76 ",21220,03,20,0320
M2500957,2500957,นิวเชาว์ไทย เทรดดิ้ง บจก.,NONFOOD-MERCHANDISE,2023,"  1,719,011.28 ","  1,607,064.00 ",21350,02,50,0250
M2600413,2600413,บางกอกแร้นซ์  บมจ.,FOOD-MERCHANDISE,2023,"  152,999.83 ","  142,990.40 ",21760,05,60,0560
M0801064,0801064,เจอาร์ เอฟ แอนด์ บี บจก.,FOOD-MERCHANDISE,2023,"  111,412.68 ","  104,124.00 ",21640,04,40,0440
M1000592,1000592,ชูชอบ เอ็นเตอร์ไพรส์  หจก.,NONFOOD-MERCHANDISE,2023,"  1,446,113.31 ","  1,351,507.77 ",21240,03,40,0340
M1100015,1100015,ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์)  บจก.,FOOD-MERCHANDISE,2023,"  88,012,815.69 ","  75,220,387.30 ",21610,04,10,0410
M1100136,1100136,ซี.พี.คอนซูเมอร์ โพรดักส์ บจก.,FOOD-MERCHANDISE,2023,"  217,017.22 ","  31,850.16 ",21631,04,31,0431
