VNDNBR,VndCode,VNDNAME,VNDTYPE,INV_YEAR, INVPAYAMT , INV_AMOUNT ,DPTNBR,DIV,DEPT,DEPT_CODE
M6003314,6003314,ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์) บจก. (กรีนเดย์),FOOD-MERCHANDISE,2023,"  14,967,401.04 ","  13,988,225.12 ",21620,04,20,0420
M6003464,6003464,โรงน้ำแข็ง จารุรัตน์พัฒนา บจก.,FOOD-MERCHANDISE,2023,"  69,528.60 ","  122,535.00 ",21790,05,70,0570
M6003472,6003472,ดีซีเอช ออริกา (ประเทศไทย) บจก. (Pharma),FOOD-MERCHANDISE,2023,"  115,681.25 ",  -   ,21630,04,30,0430
M6003485,6003485,คอนเนค แอนด์ แกเธอร์ บจก.,FOOD-MERCHANDISE,2023,"  598,600.80 ","  559,440.00 ",21790,05,70,0570
M6003500,6003500,ฟาติมะฮ์ ฟู้ดส์ โปรดักส์ บจก.,FOOD-MERCHANDISE,2023,"  13,331,770.19 ","  13,331,770.19 ",21710,05,10,0510
M6003520,6003520,โอเร็กซ์ เทรดดิ้ง บจก. (The Eagle),FOOD-MERCHANDISE,2023,"  437,958.62 ","  154,776.00 ",21830,06,10,0610
M6003525,6003525,ผลิตภัณฑ์ ธรรมชาติ ทะเลภู บจก.,FOOD-MERCHANDISE,2023,"  170,236.29 ","  155,276.11 ",21661,04,61,0461
M6003525,6003525,ผลิตภัณฑ์ ธรรมชาติ ทะเลภู บจก.,FOOD-MERCHANDISE,2023,"  62,308.93 ","  58,232.64 ",21850,06,30,0630
M6003528,6003528,แมรี่ แอน แดรี่ โปรดักส์ บจก.,FOOD-MERCHANDISE,2023,"  10,855,971.70 ",  0.33 ,21730,05,30,0530
M6003553,6003553,ดีเจริญการเกษตรไทฟูดส์ บจก.,FOOD-MERCHANDISE,2023,"  30,399,780.28 ","  30,399,780.28 ",21730,05,30,0530
M6800024,6800024,ซิลลิค ฟาร์มา บจก. (แผนกยา) MENARINI (Siri Pharma),FOOD-MERCHANDISE,2023,"  637,397.72 ","  589,795.40 ",21840,06,20,0620
M6800025,6800025,ซิลลิค ฟาร์มา บจก. (แผนกยา) CETAPHIL (Siri Pharma),FOOD-MERCHANDISE,2023,"  (28,216.40)","  (26,370.47)",21850,06,30,0630
M6800030,6800030,ซิลลิค ฟาร์มา บจก. (แผนกยา) PFIZER (Siri Pharma),FOOD-MERCHANDISE,2023,"  87,183.49 ","  81,479.89 ",21830,06,10,0610
M6800048,6800048,อ้วยอันโอสถ บจก. (Siri Pharma),FOOD-MERCHANDISE,2023,"  9,777.83 ","  6,869.09 ",21860,06,40,0640
